                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.99529,                0.54437,                0.96155,                0.49974,                0.58816,                0.44156,                0.31741,                 1.2275,                 1.1735,                 1.0516,             0.00024843,             0.00024843,             0.00024843
                     72,                0.99442,                0.54928,                0.96014,                0.51005,                0.58633,                0.44653,                0.32044,                 1.2319,                 1.1688,                  1.051,             0.00024358,             0.00024358,             0.00024358
                     73,                0.98766,                 0.5465,                0.95804,                0.50176,                0.60375,                0.44158,                0.31716,                 1.2252,                 1.1384,                 1.0472,             0.00023873,             0.00023873,             0.00023873
                     74,                0.98499,                0.53814,                0.95733,                0.51269,                0.60609,                0.44773,                0.32157,                 1.2251,                 1.1648,                 1.0475,             0.00023388,             0.00023388,             0.00023388
                     75,                0.98713,                0.54338,                0.95935,                0.50881,                0.59392,                0.44807,                0.32122,                 1.2298,                 1.1351,                 1.0481,             0.00022903,             0.00022903,             0.00022903
                     76,                 0.9859,                0.53983,                0.95912,                0.52535,                0.59035,                0.44381,                0.31897,                  1.228,                 1.1519,                 1.0533,             0.00022417,             0.00022417,             0.00022417
                     77,                0.98483,                0.53984,                0.95691,                0.50083,                0.60826,                0.44364,                0.31734,                  1.225,                 1.1819,                 1.0509,             0.00021932,             0.00021932,             0.00021932
                     78,                0.98041,                0.53663,                0.95652,                0.49184,                0.61833,                 0.4437,                0.31713,                 1.2351,                 1.1622,                 1.0514,             0.00021447,             0.00021447,             0.00021447
                     79,                0.97929,                0.53346,                0.95233,                0.51552,                 0.6134,                0.44519,                 0.3191,                 1.2273,                 1.1351,                 1.0499,             0.00020962,             0.00020962,             0.00020962
                     80,                0.97921,                 0.5334,                0.95725,                0.49593,                0.60682,                0.44226,                  0.317,                 1.2275,                  1.153,                 1.0493,             0.00020477,             0.00020477,             0.00020477
                     81,                 0.9822,                0.53172,                0.95418,                 0.5062,                 0.6257,                0.45501,                0.32753,                 1.2267,                 1.1246,                 1.0517,             0.00019992,             0.00019992,             0.00019992
                     82,                0.97271,                0.52718,                0.95347,                0.50287,                0.61118,                0.45149,                0.32421,                 1.2286,                 1.1515,                 1.0478,             0.00019507,             0.00019507,             0.00019507
